click,impression,url_hash,ad_id,advertiser_id,depth,position,query_id,keyword_id,title_id,description_id,user_id
0,1,7.90391452832019e+18,20869505,2010,1,1,19685219,110,260,70,76552
0,1,8.33510500251745e+18,20582549,33524,1,1,4,56,51,129,3216321
1,1,5.260594170071819e+16,3048013,23782,1,1,4753,369,240,405,7032673
0,1,1.130902570404585e+19,22002401,38263,2,2,3,170,29,156,1978211
1,1,5.5111324610218e+18,4301175,10040,2,2,2322872,48692,73023,27633,1695224
1,26,3.355428588253943e+18,21368422,35992,3,1,13750,10458,83403,5197,0
1,1,1.4756578758696272e+19,21546454,3625,2,2,10769693,1183630,3839910,3006637,56238
0,2,1.5859647530187389e+19,4291071,23778,2,2,1,25,11,24,4253319
0,1,8.442079119186595e+18,2210008,20100,2,2,515,4976,5909,6536,1283509
1,1,1.4140300435418186e+18,20208522,1502,3,1,78851,176,1139,2425,3582465
1,2,8.994557070508579e+18,20030165,23799,1,1,28,28,41,52,2575278
0,1,1.2943519435171692e+18,20680695,24162,2,1,541008,39380,252,359,0
0,1,1.7245542574473951e+19,3505206,24089,1,1,115,391,518,690,4869419
0,2,1.4340390157469405e+19,4708045,23777,1,1,7092800,74688,344649,283220,0
1,4,1.3756257544627677e+19,8351081,24035,2,1,327306,24139,134148,21289,0
0,1,1.2871563470264744e+19,21320298,35831,1,1,841343,1160,27700,12485,13008247
0,1,1.773106185262631e+19,5760021,2133,2,1,15778556,6061,4321,4673,0
0,3,5.103335732153793e+18,10405659,29900,2,1,220741,42,23,26,0
1,1,7.90391452832019e+18,21162426,1325,2,1,6933,20925,63750,64041,5266359
1,1,4.850184614296115e+18,20087225,28647,2,1,9548809,50041,122371,34748,12087054
1,3,8.994557070508579e+18,20030150,23799,3,2,5,1,15,19,2806217
0,1,1.4340390157469405e+19,21163924,23808,1,1,1260,2896,7387,67,1334542
0,1,1.4340390157469405e+19,9027557,23808,1,1,1456511,552,14,18,17311857
0,1,3.26105885498946e+18,20680871,34164,2,2,14793291,1013,10808,22917,2093127
1,1,9.102118953715763e+18,21438970,13140,2,2,3846,2965,11958,2383,4501295
0,1,1.205787899908646e+19,20163609,27961,1,1,19257082,425,472,698,1063167
0,1,1.7299638493773875e+18,9584171,23637,2,1,17266,401,598,227,12605868
1,1,1.8233740163121127e+19,4395739,2592,2,1,123732,81592,291044,263292,888354
0,1,3.738557660183501e+18,22102490,10561,1,1,78341,508,369,498,22494043
0,1,1.033102055585618e+19,21138267,27657,3,2,2762104,12079,387513,295345,1778701
1,1,7.53684113090204e+18,21765592,34619,1,1,45,1279,836,1035,3993496
0,1,7.90391452832019e+18,21162526,1325,1,1,12026762,10,24,25,12535107
1,1,1.0821299788101059e+19,10795372,674,3,2,16989,223435,850643,687,670044
1,2,1.4340390157469405e+19,20643978,23808,3,2,4372007,690,250,358,3473178
1,1,1.3756257544627677e+19,20915581,24354,3,3,7002226,342,126428,30188,2456969
0,1,1.4756578758696272e+19,20717058,3625,2,1,14288781,6309,146816,136277,0
0,1,1.0288178563705629e+19,21718695,37579,3,2,7820318,1697,11571,11519,0
1,1,7.90391452832019e+18,21135501,1325,1,1,66318,97882,260681,247935,1781215
0,10,1.2175306845474429e+19,21945642,37580,3,1,2043,35809,207058,5535,0
0,1,5.5111324610218e+18,4176372,10040,3,2,17299,22794,86910,96146,181777
0,1,9.390444283884915e+18,4298503,10655,3,2,5820480,6757,19384,18658,0
0,1,3.878753657523728e+18,21294104,33762,3,3,5514053,9148,36439,34750,38564
1,1,1.0664591050012752e+19,21484730,30128,1,1,914,2371,3492,3901,10107984
1,1,1.6156142406345183e+19,4263337,21264,1,1,25390549,3860,299589,249527,0
1,1,8.065635526050975e+18,22103028,38585,3,2,78667,102317,2181141,1719899,84280
1,1,2.6928596198512824e+18,21739159,2051,3,2,3889745,50980,21822,63,0
0,1,1.4340390157469405e+19,9027549,23808,2,2,3467,2770,14,18,2060645
0,2,6.235376715852591e+18,4390959,26240,2,1,33915,794,5608,15800,1798653
0,1,8.134264174510893e+18,10593100,1268,3,2,8070,4471,38248,2,3697169
1,1,1.4340390157469405e+19,21163924,23808,3,2,3631854,145,588,62,0
0,1,1.5689252236861137e+19,21167035,24130,2,1,1151,788,9873,4001,3427988
0,1,5.103335732153793e+18,10405659,29900,2,1,9215427,33,23,26,8316
1,1,1.3416878294870458e+19,3066490,23786,1,1,889,375,246,115,21579817
0,1,1.7917319755680348e+19,5804364,27663,1,1,5180263,866,43398,147092,10748215
0,1,7.492379076548611e+18,21258098,15538,2,2,9007402,382,9545,8020,186899
0,1,2.924449754888765e+17,3057281,20049,1,1,25239817,379479,1141689,999241,0
0,1,1.205787899908646e+19,20183664,27961,1,1,202,612,336,511,14283422
1,1,1.4340390157469405e+19,21360102,23777,2,1,797675,455,97968,1680,2773913
0,1,3.9680804872826173e+18,21812248,35853,2,1,1388407,4382,204942,75323,0
0,1,1.4340390157469405e+19,9027214,23808,2,2,28,3182,1997,2222,3476437
0,1,7.53684113090204e+18,21765592,34619,2,1,10,4294,4212,4562,51933
0,2,8.374971958388247e+18,20813902,4832,2,2,4530843,111487,180858,164781,0
0,1,5.851252814446936e+18,21477885,28698,3,3,6990823,9660,1316709,598956,0
0,1,1.025809645081812e+19,21204914,16357,3,3,2,142,2825,3256,8085354
1,1,5.320107942293206e+18,10399563,12209,2,1,8991,5798,5963,6251,3497799
1,1,1.205787899908646e+19,20164720,27961,2,1,258074,5391,16658,17713,0
0,1,1.4340390157469405e+19,21045406,23808,2,2,45,81,687,286,4967371
0,1,1.2236336944143575e+19,21300443,35141,3,2,8148308,9055,9647,9751,0
1,1,1.2397719443947192e+19,21260176,879,2,1,573,1704,4533,9934,13675043
0,1,1.4340390157469405e+19,21163923,23808,3,1,2021,384,1388,34,2485595
0,1,4.2981186814246446e+18,3554510,385,3,3,7843438,201764,363330,297541,31673
